Ad ID,Start Date (in UTC),Campaign Name,Campaign Objective,Total Spent,Impressions,Reach,Clicks,Leads,Video Views,Campaign Status
129633453,02/01/2021,GE_G3_Unleash the Power of Your Data (Storage)_leads_Q2/21_accounts,Lead generation,1748.03 ,45616,31656,121,2,,Completed
129635053,02/01/2021,GE_G3_Nimble video amplification_Q2/21_accounts,Website visits,1100.00 ,19038,11500,34,0,3624,Completed
133218973,02/01/2021,GE_G3_Unleash the Power of Your Data (Storage)_leads_Q2/21_contacts,Lead generation,610.00 ,6716,5757,22,3,,Completed
133219213,02/01/2021,GE_G3_Unleash the Power of Your Data (Storage)_leads_Q2/21_accounts,Lead generation,151.97 ,2123,1849,10,1,,Completed
124411413,02/01/2021,"GE_dHCI_social capture_Jan 5, 2021_job titles",Lead generation,0.00 ,0,0,329,1,,Completed
125278403,02/01/2021,"GE_dHCI_social capture_Jan 5, 2021_contacts",Lead generation,0.00 ,0,0,1022,0,,Completed
132519513,02/01/2021,DE_G3_Intelligent Data Platform _ Nimble Storage_Leads_Q2/21_Contact,Lead generation,2146.70 ,11276,11276,4979,0,,Active
132520633,02/01/2021,DE_G3_Intelligent Data Platform _ Nimble Storage_Leads_Q2/21_Job Titles,Lead generation,2885.22 ,10106,10106,3975,16,,Active
134803363,02/01/2021,DE_G7_DERMO Digital Manufacturing_Christel Hollender-Koenig_InMail_ Accounts + Job Titles,Website visits,38.86 ,146,128,53,0,,Active
135070043,02/01/2021,DE_G7_DERMO Digital Manufacturing_Christel Hollender-Koenig_InMail_ Accounts + Job Titles,Website visits,4024.73 ,15535,15535,5065,0,,Active
123284994,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,85.02 ,5709,3049,17,2,,Active
123285224,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,55.92 ,4877,3355,18,0,,Active
123556824,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,54.68 ,5916,3399,15,0,,Active
123557184,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_SMB,Lead generation,1250.00 ,129790,78759,452,27,,Active
124389364,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_companies,Lead generation,365.44 ,18572,16646,83,4,,Active
124554084,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,19.43 ,1241,1206,3,0,,Active
124617394,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,80.81 ,8241,3443,17,6,,Active
124617774,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,16.65 ,3327,1885,6,0,,Active
124618014,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_companies,Lead generation,2819.87 ,148647,60197,543,38,,Active
124618444,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,549.90 ,24521,8006,99,4,,Active
124618864,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_SMB,Lead generation,2796.67 ,141709,79934,570,22,,Active
124619054,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,428.87 ,19795,5557,60,4,,Active
126096744,02/01/2021,ISR_Intelligent Data Platform_video_Q2/21_job titles,Website visits,961.45 ,36262,21422,169,0,9140,Active
126212254,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,163.46 ,5763,3877,24,2,,Active
126572484,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,0.00 ,145,145,0,0,,Active
126572704,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_SMB,Lead generation,0.00 ,2,0,0,0,,Active
126572884,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,9.01 ,138,127,2,0,,Active
126702964,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,48.19 ,3292,2498,8,1,,Active
126703854,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,95.59 ,4476,2962,13,0,,Active
126704054,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_SMB,Lead generation,953.33 ,37645,33182,185,6,,Active
126704674,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,501.84 ,13396,11052,84,10,,Active
127180644,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,2198.10 ,77139,38403,345,24,,Active
127181134,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,10.07 ,1642,1406,2,0,,Active
127181334,02/01/2021,ZA_G4 Simplify & Unlock_leads_Q2/21_companies,Lead generation,2674.95 ,104107,56748,394,17,,Active
127182624,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_SMB,Lead generation,3389.04 ,142719,82143,617,21,,Active
127182684,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_contacts,Lead generation,86.31 ,6432,4080,15,1,,Active
127182844,02/01/2021,UAE_G4 Simplify & Unlock_leads_Q2/21_job titles,Lead generation,333.92 ,11410,4358,40,0,,Active
127715304,02/01/2021,PL_G4_Simplify & Unlock Agility (Storage)_leads_Q2/21_ job titles,Lead generation,51.47 ,1834,1373,5,2,,Active
129523803,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,1001.96 ,27097,14552,77,0,8902,Active
129524043,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,1079.27 ,28738,16232,85,0,9841,Active
129524413,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,160.23 ,1376,839,1,0,461,Completed
129524423,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,171.76 ,1472,829,2,0,590,Completed
129524763,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_accounts,Website visits,291.93 ,4326,2590,11,0,1337,Active
129524773,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_accounts,Website visits,388.42 ,5710,3382,16,0,2015,Active
129526553,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_contacts,Website visits,345.52 ,6115,2804,37,0,,Completed
129527003,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_contacts,Website visits,335.51 ,6139,2147,61,0,,Completed
129527183,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_job titles,Website visits,244.49 ,2792,1058,18,0,,Active
129527193,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_job titles,Website visits,316.38 ,2879,1212,21,0,,Active
129527723,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_accounts,Website visits,375.78 ,7120,3135,37,0,,Completed
129527733,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_accounts,Website visits,418.01 ,8222,3300,60,0,,Completed
132429613,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,657.44 ,4231,1348,16,0,2266,Completed
132429793,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,892.72 ,5515,2043,25,0,2260,Completed
132429913,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_accounts,Website visits,988.03 ,12704,5106,26,0,6136,Active
132429923,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_accounts,Website visits,1527.64 ,18817,7252,43,0,7877,Active
132430903,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,693.69 ,10306,6080,25,0,4548,Active
132430923,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,1576.88 ,23349,10633,75,0,10099,Active
132431073,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_contacts,Website visits,1062.62 ,17603,4050,127,0,,Completed
132431143,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_contacts,Website visits,998.91 ,18459,4426,109,0,,Completed
132432203,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_job titles,Website visits,1278.48 ,12838,2616,43,0,,Active
132432213,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_job titles,Website visits,877.49 ,6631,1594,41,0,,Active
132432333,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_accounts,Website visits,1129.99 ,18777,4480,125,0,,Completed
132432343,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_accounts,Website visits,878.23 ,15458,4296,79,0,,Completed
133827763,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_contacts,Website visits,349.97 ,4759,1158,54,0,,Completed
133840853,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_job titles,Website visits,358.85 ,3175,1000,31,0,,Active
133841303,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_accounts,Website visits,359.92 ,4941,1675,58,0,,Completed
134487993,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_job titles,Website visits,117.85 ,899,429,5,0,509,Completed
134488163,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_accounts,Website visits,210.93 ,2799,1466,5,0,1465,Active
134488723,02/01/2021,JP_G1_Cloud that Comes to You_videos_Q2/21_contacts,Website visits,581.35 ,8482,5485,22,0,4138,Active
134489893,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_accounts,Website visits,273.06 ,3498,1266,30,0,,Completed
134490063,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_job titles,Website visits,339.23 ,3491,908,19,0,,Active
134490223,02/01/2021,JP_G1_Cloud that Comes to You_images_Q2/21_contacts,Website visits,342.47 ,4224,1397,47,0,,Completed
129518283,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_contacts,Website visits,349.94 ,4745,1994,33,0,,Completed
129518773,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_contacts,Website visits,277.72 ,3319,1379,30,0,,Completed
129519023,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_job titles,Website visits,297.65 ,2674,934,20,0,,Completed
129519033,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_job titles,Website visits,271.77 ,3462,1299,18,0,,Completed
129519393,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_accounts,Website visits,1011.15 ,22136,8245,114,0,,Active
129519403,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_accounts,Website visits,831.84 ,15789,6230,110,0,,Active
132434793,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_contacts,Website visits,187.69 ,1786,1076,9,0,,Completed
132434923,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_contacts,Website visits,250.46 ,2665,1492,16,0,,Completed
132435063,02/01/2021,JP_G3_Unleash the Power of Your Data (Storage)_images_Q2/21_job titles,Website visits,1280.75 ,11152,2579,37,0,,Completed
